City_ID,Cities,Country,Date,Max Temp,Lat,Lng,Humidity,Wind Speed,Cloudiness
320,taunggyi,MM,5/22/20,69.8,20.78,97.03,66,3.4,100
321,muros,ES,5/22/20,70,42.78,-9.06,84,7,89
322,palmerston,AU,5/22/20,73.4,-12.49,130.98,64,13.87,93
323,namatanai,PG,5/22/20,80.55,-3.67,152.43,82,5.06,63
324,auki,SB,5/22/20,79.3,-8.77,160.7,87,4.27,20
325,mount isa,AU,5/22/20,51.8,-20.73,139.5,76,8.05,75
326,muzambinho,BR,5/22/20,70.3,-21.38,-46.53,74,7.43,46
327,comodoro rivadavia,AR,5/22/20,51.8,-45.87,-67.5,53,9.17,100
328,mgandu,TZ,5/22/20,68.94,-5.95,34.13,64,4.74,10
329,aksarka,RU,5/22/20,62.26,66.56,67.8,46,9.46,48
330,fairbanks,US,5/22/20,52,64.84,-147.72,70,1.83,1
331,leh,IN,5/22/20,53.98,34.17,77.58,31,5.26,100
332,tessalit,ML,5/22/20,99.99,20.2,1.01,9,19.3,0
333,mitu,CO,5/22/20,84,1.2,-70.17,78,3.47,1
334,markova,UA,5/22/20,60.8,48.68,24.41,26,11.18,35
335,sitka,US,5/22/20,46.4,57.05,-135.33,87,4.7,90
336,srednekolymsk,RU,5/22/20,30.65,67.45,153.68,90,8.46,85
337,blagoyevo,RU,5/22/20,40.1,63.37,47.92,90,11.36,100
338,manono,CD,5/22/20,83.68,-7.3,27.42,52,5.39,60
339,saint george,US,5/22/20,64.99,37.1,-113.58,28,3.36,1
340,buraydah,SA,5/22/20,100.4,26.33,43.98,13,8.05,20
341,westport,US,5/22/20,70,41.14,-73.36,63,6.93,1
342,bela,IN,5/22/20,96.39,25.93,81.98,10,3.29,0
343,cidreira,BR,5/22/20,68.56,-30.18,-50.21,93,0.78,100
344,ozark,US,5/22/20,63,37.02,-93.21,97,9.22,100
345,kununurra,AU,5/22/20,62.6,-15.77,128.73,67,14.99,78
346,kavieng,PG,5/22/20,82.78,-2.57,150.8,79,8.41,40
